timestamp,studio_id,session_id,face_detected,pitch,yaw,roll,status
2026-04-06T17:05:53.921554,S01,SESSION_001,True,-4.15,14.81,-0.46,facing_camera
2026-04-06T17:05:54.922056,S01,SESSION_001,True,-7.81,1.01,-0.27,facing_camera
2026-04-06T17:05:55.922196,S01,SESSION_001,True,-8.4,4.38,-0.33,head_down
2026-04-06T17:05:56.955195,S01,SESSION_001,True,-7.04,11.27,-0.47,facing_camera
2026-04-06T17:05:57.971736,S01,SESSION_001,True,-2.09,-5.09,-0.14,facing_camera
2026-04-06T17:05:59.005029,S01,SESSION_001,True,-1.32,-3.89,-0.15,facing_camera
2026-04-06T17:06:00.037605,S01,SESSION_001,True,0,0,0,facing_camera
2026-04-06T17:06:01.059546,S01,SESSION_001,True,6.29,-19.05,0.33,facing_camera
2026-04-06T17:06:02.088549,S01,SESSION_001,True,6.15,-18.4,0.35,not_facing_camera
2026-04-06T17:06:03.106548,S01,SESSION_001,True,-3.75,0.31,-0.22,facing_camera
2026-04-06T17:06:04.139698,S01,SESSION_001,True,-9.3,-2.9,-0.07,not_detected
2026-04-06T17:06:05.162342,S01,SESSION_001,False,0,0,0,facing_camera
2026-04-06T17:06:06.171344,S01,SESSION_001,True,0.43,-3.4,-0.11,facing_camera
2026-04-06T17:06:07.173384,S01,SESSION_001,True,-6.52,-1.6,-0.11,facing_camera
2026-04-06T17:06:08.173383,S01,SESSION_001,True,-7.19,-2.43,-0.08,not_detected
2026-04-06T17:06:09.190384,S01,SESSION_001,True,5.4,10.54,-0.19,facing_camera
2026-04-06T17:06:10.212673,S01,SESSION_001,False,0,0,0,not_detected
2026-04-06T17:06:11.245669,S01,SESSION_001,False,0,0,0,off_frame
2026-04-06T17:06:12.255704,S01,SESSION_001,True,-7.32,-2.46,-0.1,facing_camera
2026-04-06T17:06:13.273752,S01,SESSION_001,True,-6.49,-0.89,-0.14,facing_camera
2026-04-06T17:06:14.307693,S01,SESSION_001,True,-8.49,-0.94,-0.18,not_detected
2026-04-06T17:06:15.312696,S01,SESSION_001,True,-9.74,-0.91,-0.18,facing_camera
2026-04-06T17:06:16.339876,S01,SESSION_001,True,-8.23,-0.6,-0.16,head_down
2026-04-06T17:06:17.371126,S01,SESSION_001,True,-3.33,-2.35,-0.11,facing_camera
2026-04-06T17:06:18.408093,S01,SESSION_001,True,0,0,0,facing_camera
2026-04-06T17:06:19.429087,S01,SESSION_001,False,0,0,0,not_detected
2026-04-06T17:06:20.463050,S01,SESSION_001,False,0,0,0,facing_camera
2026-04-06T17:06:21.473052,S01,SESSION_001,True,-10.78,-0.63,-0.23,head_down
2026-04-06T17:06:22.506170,S01,SESSION_001,True,-10.81,-0.87,-0.21,head_down
2026-04-06T17:06:23.538172,S01,SESSION_001,True,-9.72,-0.98,-0.2,head_down
2026-04-06T17:06:24.570211,S01,SESSION_001,True,-10.56,-0.98,-0.19,head_down
2026-04-06T17:06:25.571164,S01,SESSION_001,True,-9.69,-1.32,-0.19,head_down
2026-04-06T17:06:26.572165,S01,SESSION_001,True,-0.21,-3.87,-0.1,head_down
2026-04-06T17:06:27.572860,S01,SESSION_001,True,-0.77,-3.35,-0.11,head_down
2026-04-06T17:06:28.574798,S01,SESSION_001,True,0.23,-4.43,-0.1,head_down
2026-04-06T17:06:29.604764,S01,SESSION_001,True,5.48,-7.4,-0.05,head_down
2026-04-06T17:06:30.606324,S01,SESSION_001,True,8.37,-8.97,-0.06,head_down
2026-04-06T17:06:31.607893,S01,SESSION_001,True,3.96,-7.65,-0.08,head_down
2026-04-06T17:06:32.638893,S01,SESSION_001,True,2.54,-6.58,-0.08,facing_camera
2026-04-06T17:06:33.654408,S01,SESSION_001,True,1.75,-6.32,-0.09,facing_camera
2026-04-06T17:06:34.657351,S01,SESSION_001,True,-8.73,-1.42,-0.13,facing_camera
2026-04-06T17:06:35.692353,S01,SESSION_001,True,-10.18,-1.64,-0.14,facing_camera
2026-04-06T17:06:36.727541,S01,SESSION_001,True,-10.65,-1.89,-0.17,head_down
2026-04-06T17:06:37.793171,S01,SESSION_001,True,4.7,-5.42,-0.07,head_down
2026-04-06T17:06:38.823172,S01,SESSION_001,True,3.46,-5.12,-0.09,head_down
2026-04-06T17:06:39.896533,S01,SESSION_001,True,3.63,-6.16,-0.07,facing_camera
2026-04-06T17:06:40.922903,S01,SESSION_001,True,2.44,16.37,-0.24,not_facing_camera
2026-04-06T17:06:41.988197,S01,SESSION_001,True,-0.09,14.03,-0.33,facing_camera
2026-04-06T17:06:43.006252,S01,SESSION_001,True,1.43,-7.79,-0.04,facing_camera
2026-04-06T17:06:44.037922,S01,SESSION_001,True,7.66,-21.88,0.49,not_facing_camera
2026-04-06T17:06:45.043921,S01,SESSION_001,True,3.31,-9.39,0.12,facing_camera
2026-04-06T17:06:46.073924,S01,SESSION_001,True,-6.24,-0.18,-0.17,facing_camera
2026-04-06T17:06:47.105968,S01,SESSION_001,True,-10.57,-0.72,-0.18,facing_camera
2026-04-06T17:06:48.137482,S01,SESSION_001,True,-9.89,-0.94,-0.15,head_down
2026-04-06T17:06:49.138788,S01,SESSION_001,True,-10.48,-1.51,-0.16,head_down
2026-04-06T17:06:50.173274,S01,SESSION_001,True,-10.53,-1.38,-0.17,head_down
